                  Temp     Hi    Low   Out    Dew  Wind  Wind   Wind    Hi    Hi   Wind   Heat    THW                Rain    Heat    Cool    In     In    In     In     In   In Air  Wind  Wind    ISS   Arc.
  Date    Time     Out   Temp   Temp   Hum    Pt. Speed   Dir    Run Speed   Dir  Chill  Index  Index   Bar    Rain  Rate    D-D     D-D    Temp   Hum    Dew   Heat    EMC Density  Samp   Tx   Recept  Int.
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
27/05/15 12:05a   16.2   16.2   16.1    88   14.2   0.0   ---   0.00   0.0   ---   16.2   16.3   16.3  1016.4  0.00   0.0   0.008   0.000   25.7    87   23.4   28.3  18.85  .0719    118    1    100.0    5 
27/05/15 12:10a   16.3   16.3   16.1    87   14.1   0.0   ---   0.00   0.0   ---   16.3   16.4   16.4  1016.4  0.00   0.0   0.007   0.000   25.7    87   23.4   28.3  18.85  .0719    117    1    100.0    5 
27/05/15 12:15a   16.3   16.3   16.2    87   14.2   0.0   ---   0.00   0.0   ---   16.3   16.5   16.5  1016.4  0.00   0.0   0.007   0.000   25.7    87   23.4   28.3  18.85  .0719    117    1    100.0    5 
27/05/15 12:20a   16.4   16.4   16.3    87   14.2   0.0   ---   0.00   0.0   ---   16.4   16.6   16.6  1016.4  0.00   0.0   0.007   0.000   25.7    87   23.4   28.3  18.85  .0719    117    1    100.0    5 
27/05/15 12:25a   16.4   16.4   16.4    87   14.2   0.0   ---   0.00   0.0   ---   16.4   16.6   16.6  1016.4  0.00   0.0   0.007   0.000   25.7    87   23.4   28.3  18.85  .0719    111    1     97.4    5 
27/05/15 12:30a   16.5   16.5   16.4    87   14.3   0.0   ---   0.00   0.0   ---   16.5   16.7   16.7  1016.4  0.00   0.0   0.006   0.000   25.7    87   23.4   28.3  18.85  .0719    117    1    100.0    5 
27/05/15 12:35a   16.5   16.6   16.5    86   14.1   0.0   ---   0.00   0.0   ---   16.5   16.7   16.7  1016.4  0.00   0.0   0.006   0.000   25.7    87   23.4   28.3  18.85  .0719    117    1    100.0    5 
27/05/15 12:40a   16.7   16.7   16.5    88   14.7   0.0   ---   0.00   0.0   ---   16.7   16.9   16.9  1016.5  0.00   0.0   0.006   0.000   25.7    87   23.4   28.3  18.85  .0719    117    1    100.0    5 
27/05/15 12:45a   16.7   16.7   16.7    88   14.7   0.0    SE   0.00   1.7    SE   16.7   16.9   16.9  1016.5  0.00   0.0   0.006   0.000   25.7    87   23.4   28.3  18.85  .0719    118    1    100.0    5 
27/05/15 12:50a   16.7   16.7   16.7    88   14.7   0.0    SE   0.00   1.7    SE   16.7   16.9   16.9  1016.5  0.00   0.0   0.006   0.000   25.7    87   23.4   28.3  18.85  .0719    117    1    100.0    5 
27/05/15 12:55a   16.7   16.7   16.7    88   14.7   0.0   ---   0.00   0.0   ---   16.7   16.9   16.9  1016.5  0.00   0.0   0.006   0.000   25.7    87   23.4   28.3  18.85  .0719    117    1    100.0    5 
27/05/15  1:00a   16.6   16.7   16.6    88   14.6   0.0   ---   0.00   0.0   ---   16.6   16.8   16.8  1016.5  0.00   0.0   0.006   0.000   25.7    87   23.4   28.3  18.85  .0719    117    1    100.0    5 
